Name,
Unknown,
Catford,
Hove,
Romford,
Crayford,
Monmore,
Hackney,
Walthamstow
Wembley,
Wimbledon,
Hall Green,
Belle Vue,
Rye House,
Shelbourne Park,
Dunmore,
Limerick,
Harolds Cross,
Mullingar,
Cork,
Clonmel,
Dundalk,
Dungannon,
Enniscorthy,
Kilkenny,
Thurles,
Perry Barr,
Sunderland,
Harlow,
Milton Keynes,
Swaffham,
Portsmouth,
Nottingham,
Canterbury,
Brough Park,
Reading,
Peterborough,
Unattached,
Bristol,
Central Park,
Henlow,
Swindon,
Mildenhall,
Yarmouth,
Bolton,
Middlesbrough,
Stainforth,
Shawfield,
Oxford,
Sheffield,
Dundee,
Hull,
Tralee,
Waterford,
Twyford,
Youghal,
Galway,
Newbridge,
Norton,
Navan,
Ramsgate,
Lifford,
Longford,
Ballyskeagh,
Derry,
Ballygannon,
Spennymoor,
Poole,
Wisbech,
Kinsley,
Coventry,
Doncaster,
Newcastle,
Pelaw Grange,
Irish,
Towcester